ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q1,Q2,Q3_orientation(1),Q3_bar_width(1),Q3_orientation(2),Q3_bar_width(2),Q3_orientation(3),Q3_bar_width(3),Q3_orientation(4),Q3_bar_width(4),Q3_orientation(5),Q3_bar_width(5),Q3_orientation(6),Q3_bar_width(6),Q3_orientation(7),Q3_bar_width(7),Q3_orientation(8),Q3_bar_width(8),Q3_orientation(9),Q3_bar_width(9),Q3_orientation(10),Q3_bar_width(10),Q3_orientation(11),Q3_bar_width(11),Q3_orientation(12),Q3_bar_width(12),Q3_orientation(13),Q3_bar_width(13),Q3_orientation(14),Q3_bar_width(14),Q3_orientation(15),Q3_bar_width(15),Q3_orientation(16),Q3_bar_width(16),Q3_orientation(17),Q3_bar_width(17),Q3_orientation(18),Q3_bar_width(18),Q3_orientation(19),Q3_bar_width(19),Q3_orientation(20),Q3_bar_width(20),Q3_orientation(21),Q3_bar_width(21),Q3_orientation(22),Q3_bar_width(22),Q3_orientation(23),Q3_bar_width(23),Q3_orientation(24),Q3_bar_width(24),Q3_orientation(25),Q3_bar_width(25),LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,name,version,instructions (1)-Orientation,instructions (1)-Bar width,instructions (2)-Orientation,instructions (2)-Bar width,instructions (3)-Orientation,instructions (3)-Bar width,instructions (4)-Orientation,instructions (4)-Bar width,instructions (5)-Orientation,instructions (5)-Bar width,instructions (6)-Orientation,instructions (6)-Bar width,instructions (7)-Orientation,instructions (7)-Bar width,instructions (8)-Orientation,instructions (8)-Bar width,instructions (9)-Orientation,instructions (9)-Bar width,instructions (10)-Orientation,instructions (10)-Bar width,instructions (11)-Orientation,instructions (11)-Bar width,instructions (12)-Orientation,instructions (12)-Bar width,instructions (13)-Orientation,instructions (13)-Bar width,instructions (14)-Orientation,instructions (14)-Bar width,instructions (15)-Orientation,instructions (15)-Bar width,instructions (16)-Orientation,instructions (16)-Bar width,instructions (17)-Orientation,instructions (17)-Bar width,instructions (18)-Orientation,instructions (18)-Bar width,instructions (19)-Orientation,instructions (19)-Bar width,instructions (20)-Orientation,instructions (20)-Bar width,instructions (21)-Orientation,instructions (21)-Bar width,instructions (22)-Orientation,instructions (22)-Bar width,instructions (23)-Orientation,instructions (23)-Bar width,instructions (24)-Orientation,instructions (24)-Bar width,instructions (25)-Orientation,instructions (25)-Bar width,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID1-TEXT'},{'ImportId': 'QID3-TEXT'},{'ImportId': '1_QID2-1'},{'ImportId': '1_QID2-2'},{'ImportId': '2_QID2-1'},{'ImportId': '2_QID2-2'},{'ImportId': '3_QID2-1'},{'ImportId': '3_QID2-2'},{'ImportId': '4_QID2-1'},{'ImportId': '4_QID2-2'},{'ImportId': '5_QID2-1'},{'ImportId': '5_QID2-2'},{'ImportId': '6_QID2-1'},{'ImportId': '6_QID2-2'},{'ImportId': '7_QID2-1'},{'ImportId': '7_QID2-2'},{'ImportId': '8_QID2-1'},{'ImportId': '8_QID2-2'},{'ImportId': '9_QID2-1'},{'ImportId': '9_QID2-2'},{'ImportId': '10_QID2-1'},{'ImportId': '10_QID2-2'},{'ImportId': '11_QID2-1'},{'ImportId': '11_QID2-2'},{'ImportId': '12_QID2-1'},{'ImportId': '12_QID2-2'},{'ImportId': '13_QID2-1'},{'ImportId': '13_QID2-2'},{'ImportId': '14_QID2-1'},{'ImportId': '14_QID2-2'},{'ImportId': '15_QID2-1'},{'ImportId': '15_QID2-2'},{'ImportId': '16_QID2-1'},{'ImportId': '16_QID2-2'},{'ImportId': '17_QID2-1'},{'ImportId': '17_QID2-2'},{'ImportId': '18_QID2-1'},{'ImportId': '18_QID2-2'},{'ImportId': '19_QID2-1'},{'ImportId': '19_QID2-2'},{'ImportId': '20_QID2-1'},{'ImportId': '20_QID2-2'},{'ImportId': '21_QID2-1'},{'ImportId': '21_QID2-2'},{'ImportId': '22_QID2-1'},{'ImportId': '22_QID2-2'},{'ImportId': '23_QID2-1'},{'ImportId': '23_QID2-2'},{'ImportId': '24_QID2-1'},{'ImportId': '24_QID2-2'},{'ImportId': '25_QID2-1'},{'ImportId': '25_QID2-2'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_1pEaKrU23RpTvxj,Default Response Set,72.33.2.156,2018-10-31 11:43:12,2018-10-31 11:49:35,,,,,1,0,pierce,1.3,0,0,3,3,0,1,0,1,1,1,0,3,0,1,0,0,0,0,3,3,1,1,1,1,1,1,0,0,0,1,3,3,1,1,1,1,0,1,0,1,3,0,0,1,0,0,3,3,1,0,43.07310485839844,-89.40119934082031,-1
